AccX,AccY,GyroZ,Class,DiffAccX,DiffAccY
0.024627209,0.4760384,0.02069306,NORMAL,-1.006653191,-0.25219446
1.158198,0.22727384,0.031688634,NORMAL,1.1335707910000001,-0.24876455999999997
1.1000575,0.22532225,0.010308351,NORMAL,-0.05814050000000015,-0.001951590000000003
0.665429,0.49806526,0.021303926,NORMAL,-0.43462849999999986,0.27274301
0.8107588,0.3941303,-0.010461068,NORMAL,0.14532979999999995,-0.10393496000000002
-0.6773871,-0.56613946,-0.014737124,NORMAL,-1.4881459000000001,-0.9602697600000001
-0.7798283,0.45677698,-0.04772385,NORMAL,-0.10244120000000001,1.02291644
-0.62190557,-0.4506393,0.11904237,NORMAL,0.15792273,-0.9074162800000001
0.70113504,-0.16873932,0.013362677,NORMAL,1.32304061,0.28189998000000005
1.8915246,1.1473792,-0.0012980887,NORMAL,1.1903895599999998,1.31611852
-0.44840515,-0.0026172996,-0.06543894,NORMAL,-2.33992975,-1.1499964996
-0.6348057,0.67214185,-0.0067958757,NORMAL,-0.18640055000000005,0.6747591496
0.6373229,0.9423757,0.034742963,NORMAL,1.2721286,0.27023385
-1.1450831,-1.1350858,-0.036728274,NORMAL,-1.782406,-2.0774615
-1.561934,1.0792023,-0.0092393365,NORMAL,-0.4168509,2.2142881
-2.3862872,-1.1911907,0.06650795,NORMAL,-0.8243532,-2.270393
-2.8973424,-0.020120025,0.07994699,NORMAL,-0.5110551999999999,1.171070675
-0.84673524,1.1123292,0.16119206,NORMAL,2.0506071599999998,1.132449225
-0.9487786,-1.1211964,0.15141822,NORMAL,-0.10204336000000003,-2.2335256
-0.66064614,0.47948244,0.15569428,NORMAL,0.28813246000000003,1.60067884
0.32185626,-0.004040621,0.15325081,NORMAL,0.9825024,-0.48352306100000003
-0.62467885,-0.8120796,0.12820534,NORMAL,-0.94653511,-0.808038979
0.661506,0.0063890815,0.058566704,NORMAL,1.2861848500000002,0.8184686815
0.34187663,0.5163145,0.0048105638,NORMAL,-0.31962937,0.5099254185000001
-1.1381806,0.89366126,-0.063606344,NORMAL,-1.4800572300000001,0.37734676
1.1962264,-0.36534023,-0.06421721,NORMAL,2.334407,-1.25900149
0.9723377,0.17520386,-0.06543894,NORMAL,-0.22388870000000005,0.54054409
2.0955453,-0.03835237,-0.1259146,NORMAL,1.1232076,-0.21355622999999999
0.6891172,0.0041232705,-0.10209085,NORMAL,-1.4064280999999998,0.042475640499999995
-0.9347031,-0.4371791,-0.11552989,NORMAL,-1.6238203,-0.4413023705
